id,text,annotations
1,"Я живу в городе Москва.","Я O
живу O
в O
городе B-City
Москва I-City
. O"
2,"Из деревни Ольгино я поехал в Санкт-Петербург.","Из O
деревни B-Village
Ольгино I-Village
я O
поехал O
в O
Санкт-Петербург B-City
. O"
3,"Моя квартира находится в квартире 101 в микрорайоне Южный.","Моя O
квартира O
находится O
в O
квартире B-Flat
101 I-Flat
в O
микрорайоне B-Microdistrict
Южный I-Microdistrict
. O"
4,"Автономный округ включает Чукотский автономный округ, а также район Октябрьский район.","Автономный O
округ O
включает O
Чукотский B-AO
автономный I-AO
округ I-AO
, O
а O
также O
район O
Октябрьский B-District
район I-District
. O"
5,"Я гулял по проспекту Ленина в Хабаровском крае.","Я O
гулял O
по O
проспекту B-Avenue
Ленина I-Avenue
в O
Хабаровским B-Krai
крае I-Krai
. O"
6,"Живу в Башкортостане, в Центральном районе, в селе Сидорово.","Живу O
в O
Башкортостане B-Republic
, O
в O
Центральным B-District
районе I-District
, O
в O
селе B-Selo
Сидорово I-Selo
. O"
7,"Набережная расположена на набережной Москвы-реки, в микрорайоне Северный, в квартале 1.","Набережная O
расположена O
на O
набережной B-Embankment
Москвы-реки I-Embankment
, O
в O
микрорайоне B-Microdistrict
Северный I-Microdistrict
, O
в O
квартале B-Quarter
1 I-Quarter
. O"
8,"Мой дом в поселке Речной, в микрорайоне Северный, в квартире 202.","Мой O
дом O
в O
поселке B-Poselok
Речной I-Poselok
, O
в O
микрорайоне B-Microdistrict
Северный I-Microdistrict
, O
в O
квартире B-Flat
202 I-Flat
. O"
9,"Район известен как Ленинский район в Новосибирской области.","Район O
известен O
как O
Ленинский B-District
район I-District
в O
Новосибирской B-Oblast
области I-Oblast
. O"
10,"В Екатеринбурге я стоял на набережной Реки Невы.","В O
Екатеринбурге B-City
я O
стоял O
на O
набережной B-Embankment
Реки I-Embankment
Невы I-Embankment
. O"
11,"Город Санкт-Петербург расположен в Дагестане.","Город O
Санкт-Петербург B-City
расположен O
в O
Дагестане B-Republic
. O"
12,"В Казани есть набережная Реки Невы.","В O
Казани B-City
есть O
набережная B-Embankment
Реки I-Embankment
Невы I-Embankment
. O"
13,"Улица проходит по улице Пушкина, проспект по проспекту Победы, бульвар по бульвару Рождественский.","Улица O
проходит O
по O
улице B-Street
Пушкина I-Street
, O
проспект O
по O
проспекту B-Avenue
Победы I-Avenue
, O
бульвар O
по O
бульвару B-Boulevard
Рождественский I-Boulevard
. O"
14,"Живу в Мордовии, в Советском районе, в селе Ивановское.","Живу O
в O
Мордовии B-Republic
, O
в O
Советским B-District
районе I-District
, O
в O
селе B-Selo
Ивановское I-Selo
. O"
15,"Автономный округ - это Ненецкий автономный округ, включая район Октябрьский район.","Автономный O
округ O
- O
это O
Ненецкий B-AO
автономный I-AO
округ I-AO
, O
включая O
район O
Октябрьский B-District
район I-District
. O"
16,"Село находится в селе Сидорово, а деревня в деревне Васильевка.","Село O
находится O
в O
селе B-Selo
Сидорово I-Selo
, O
а O
деревня O
в O
деревне B-Village
Васильевка I-Village
. O"
17,"Из деревни Васильевка я отправился в Санкт-Петербург.","Из O
деревни B-Village
Васильевка I-Village
я O
отправился O
в O
Санкт-Петербург B-City
. O"
18,"Переулок ведет в переулок Садовый, шоссе продолжается шоссе Ленинградское.","Переулок O
ведет O
в O
переулок B-Lane
Садовый I-Lane
, O
шоссе O
продолжается O
шоссе B-Highway
Ленинградское I-Highway
. O"
19,"На шоссе Ленинградское стоит сооружение Б.","На O
шоссе B-Highway
Ленинградское I-Highway
стоит O
сооружение B-Structure
Б I-Structure
. O"
20,"Дом расположен в доме 10, строение в строении 3, сооружение в сооружении Б, квартира в квартире 202.","Дом O
расположен O
в O
доме B-House
10 I-House
, O
строение O
в O
строении B-Building
3 I-Building
, O
сооружение O
в O
сооружении B-Structure
Б I-Structure
, O
квартира O
в O
квартире B-Flat
202 I-Flat
. O"
